timestamp,status,message
2025-04-22T17:39:39.975523,success,Connected: 2025-04-22 12:39:40.012513+00:00
2025-04-22T17:39:42.014941,success,Connected: 2025-04-22 12:39:42.028463+00:00
2025-04-22T17:39:44.040232,success,Connected: 2025-04-22 12:39:44.061470+00:00
2025-04-22T17:39:46.071065,success,Connected: 2025-04-22 12:39:46.086437+00:00
2025-04-22T17:39:48.092117,success,Connected: 2025-04-22 12:39:48.113629+00:00
2025-04-22T17:39:50.129817,success,Connected: 2025-04-22 12:39:50.242007+00:00
2025-04-22T17:39:52.245890,success,Connected: 2025-04-22 12:39:52.265696+00:00
2025-04-22T17:39:54.268073,success,Connected: 2025-04-22 12:39:54.292193+00:00
2025-04-22T17:39:56.300130,success,Connected: 2025-04-22 12:39:56.315176+00:00
2025-04-22T17:39:58.319363,success,Connected: 2025-04-22 12:39:58.347489+00:00
2025-04-22T17:40:00.358729,success,Connected: 2025-04-22 12:40:00.376358+00:00
2025-04-22T17:40:02.381544,success,Connected: 2025-04-22 12:40:02.404145+00:00
2025-04-22T17:40:04.408927,success,Connected: 2025-04-22 12:40:04.437366+00:00
2025-04-22T17:40:06.445898,success,Connected: 2025-04-22 12:40:06.458816+00:00
2025-04-22T17:40:08.463006,success,Connected: 2025-04-22 12:40:08.488939+00:00
2025-04-22T17:40:10.492937,success,Connected: 2025-04-22 12:40:10.514749+00:00
2025-04-22T17:40:12.533773,success,Connected: 2025-04-22 12:40:12.563361+00:00
2025-04-22T17:40:14.569957,success,Connected: 2025-04-22 12:40:14.597832+00:00
2025-04-22T17:40:16.601780,success,Connected: 2025-04-22 12:40:16.616999+00:00
2025-04-22T17:40:18.624308,success,Connected: 2025-04-22 12:40:18.637150+00:00
2025-04-22T17:40:20.643430,success,Connected: 2025-04-22 12:40:20.662412+00:00
2025-04-22T17:40:22.668716,success,Connected: 2025-04-22 12:40:22.698350+00:00
2025-04-22T17:40:24.709566,success,Connected: 2025-04-22 12:40:24.730366+00:00
2025-04-22T17:40:26.739124,success,Connected: 2025-04-22 12:40:26.758492+00:00
2025-04-22T17:40:28.762213,success,Connected: 2025-04-22 12:40:28.783678+00:00
2025-04-22T17:40:30.788218,success,Connected: 2025-04-22 12:40:30.806175+00:00
2025-04-22T17:40:32.812781,success,Connected: 2025-04-22 12:40:32.838362+00:00
2025-04-22T17:40:34.842773,success,Connected: 2025-04-22 12:40:34.857861+00:00
2025-04-22T17:40:36.865125,success,Connected: 2025-04-22 12:40:36.875979+00:00
2025-04-22T17:40:38.881384,success,Connected: 2025-04-22 12:40:38.902887+00:00
2025-04-22T17:40:40.910633,success,Connected: 2025-04-22 12:40:40.928076+00:00
2025-04-22T17:40:42.933930,success,Connected: 2025-04-22 12:40:42.976522+00:00
2025-04-22T17:40:44.985880,success,Connected: 2025-04-22 12:40:45.019671+00:00
2025-04-22T17:40:47.029549,success,Connected: 2025-04-22 12:40:47.046953+00:00
2025-04-22T17:40:49.055796,success,Connected: 2025-04-22 12:40:49.072886+00:00
2025-04-22T17:40:51.080347,success,Connected: 2025-04-22 12:40:51.119398+00:00
2025-04-22T17:40:53.126734,success,Connected: 2025-04-22 12:40:53.142855+00:00
2025-04-22T17:40:55.150758,success,Connected: 2025-04-22 12:40:55.163226+00:00
2025-04-22T17:40:57.167068,success,Connected: 2025-04-22 12:40:57.185385+00:00
2025-04-22T17:40:59.190992,success,Connected: 2025-04-22 12:40:59.216424+00:00
2025-04-22T17:41:01.224491,success,Connected: 2025-04-22 12:41:01.241808+00:00
2025-04-22T17:41:03.249462,success,Connected: 2025-04-22 12:41:03.278804+00:00
2025-04-22T17:41:05.286526,success,Connected: 2025-04-22 12:41:05.310099+00:00
2025-04-22T17:41:07.319856,success,Connected: 2025-04-22 12:41:07.341155+00:00
2025-04-22T17:41:09.344273,success,Connected: 2025-04-22 12:41:09.377003+00:00
2025-04-22T17:41:11.384824,success,Connected: 2025-04-22 12:41:11.392054+00:00
2025-04-22T17:41:13.400564,success,Connected: 2025-04-22 12:41:13.424122+00:00
2025-04-22T17:41:15.429137,success,Connected: 2025-04-22 12:41:15.451260+00:00
2025-04-22T17:41:17.453610,success,Connected: 2025-04-22 12:41:17.472446+00:00
2025-04-22T17:41:19.479533,success,Connected: 2025-04-22 12:41:19.504323+00:00
2025-04-22T17:41:21.511717,success,Connected: 2025-04-22 12:41:21.544035+00:00
2025-04-22T17:41:23.551775,success,Connected: 2025-04-22 12:41:23.579853+00:00
2025-04-22T17:41:25.592130,success,Connected: 2025-04-22 12:41:25.627535+00:00
2025-04-22T17:41:27.643366,success,Connected: 2025-04-22 12:41:27.654447+00:00
2025-04-22T17:41:29.661733,success,Connected: 2025-04-22 12:41:29.683833+00:00
2025-04-22T17:41:31.691715,success,Connected: 2025-04-22 12:41:31.725868+00:00
2025-04-22T17:41:33.733143,success,Connected: 2025-04-22 12:41:33.756925+00:00
2025-04-22T17:41:35.766774,success,Connected: 2025-04-22 12:41:35.779481+00:00
2025-04-22T17:41:37.783922,success,Connected: 2025-04-22 12:41:37.820551+00:00
2025-04-22T17:41:39.827158,success,Connected: 2025-04-22 12:41:39.864995+00:00
2025-04-22T17:41:41.873084,success,Connected: 2025-04-22 12:41:41.896888+00:00
2025-04-22T17:41:43.904789,success,Connected: 2025-04-22 12:41:43.921767+00:00
2025-04-22T17:41:45.924917,success,Connected: 2025-04-22 12:41:45.931523+00:00
2025-04-22T17:41:47.935274,success,Connected: 2025-04-22 12:41:47.953929+00:00
2025-04-22T17:41:49.960330,success,Connected: 2025-04-22 12:41:49.982922+00:00
2025-04-22T17:41:51.990189,success,Connected: 2025-04-22 12:41:52.008739+00:00
2025-04-22T17:41:54.014560,error,FAILOVER DETECTED: connection to server at "localhost" (::1), port 5434 failed: server closed the connection unexpectedly 	This probably means the server terminated abnormally 	before or while processing the request. 
2025-04-22T17:41:56.021542,error,connection to server at "localhost" (::1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? connection to server at "localhost" (127.0.0.1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? 
2025-04-22T17:41:58.029328,error,connection to server at "localhost" (::1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? connection to server at "localhost" (127.0.0.1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? 
2025-04-22T17:42:00.039435,error,connection to server at "localhost" (::1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? connection to server at "localhost" (127.0.0.1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? 
2025-04-22T17:42:02.048522,error,connection to server at "localhost" (::1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? connection to server at "localhost" (127.0.0.1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? 
2025-04-22T17:42:04.055333,error,connection to server at "localhost" (::1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? connection to server at "localhost" (127.0.0.1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? 
2025-04-22T17:42:06.063139,error,connection to server at "localhost" (::1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? connection to server at "localhost" (127.0.0.1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? 
2025-04-22T17:42:08.070908,error,connection to server at "localhost" (::1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? connection to server at "localhost" (127.0.0.1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? 
2025-04-22T17:42:10.074531,error,connection to server at "localhost" (::1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? connection to server at "localhost" (127.0.0.1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? 
2025-04-22T17:42:12.081658,error,connection to server at "localhost" (::1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? connection to server at "localhost" (127.0.0.1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? 
2025-04-22T17:42:14.088700,error,connection to server at "localhost" (::1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? connection to server at "localhost" (127.0.0.1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? 
2025-04-22T17:42:16.100506,error,connection to server at "localhost" (::1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? connection to server at "localhost" (127.0.0.1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? 
2025-04-22T17:42:18.113000,error,connection to server at "localhost" (::1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? connection to server at "localhost" (127.0.0.1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? 
2025-04-22T17:42:20.117647,error,connection to server at "localhost" (::1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? connection to server at "localhost" (127.0.0.1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? 
2025-04-22T17:42:22.123373,error,connection to server at "localhost" (::1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? connection to server at "localhost" (127.0.0.1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? 
2025-04-22T17:42:24.128817,error,connection to server at "localhost" (::1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? connection to server at "localhost" (127.0.0.1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? 
2025-04-22T17:42:26.137389,error,connection to server at "localhost" (::1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? connection to server at "localhost" (127.0.0.1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? 
2025-04-22T17:42:28.147310,error,connection to server at "localhost" (::1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? connection to server at "localhost" (127.0.0.1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? 
2025-04-22T17:42:30.152289,error,connection to server at "localhost" (::1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? connection to server at "localhost" (127.0.0.1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? 
2025-04-22T17:42:32.164688,error,connection to server at "localhost" (::1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? connection to server at "localhost" (127.0.0.1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? 
2025-04-22T17:42:34.168198,error,connection to server at "localhost" (::1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? connection to server at "localhost" (127.0.0.1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? 
2025-04-22T17:42:36.175597,error,connection to server at "localhost" (::1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? connection to server at "localhost" (127.0.0.1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? 
2025-04-22T17:42:38.181968,error,connection to server at "localhost" (::1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? connection to server at "localhost" (127.0.0.1), port 5434 failed: Connection refused 	Is the server running on that host and accepting TCP/IP connections? 
